finding_id,section_ref,scope_eir,requirement_family,control_ref,control_title,rating,assessment_method,finding_summary,source_ref,source_page_start,source_page_end,source_confidence,human_validated,reviewer,reviewed_at,direct_action_ids,family_action_ids,mapping_status,notes
F-0001,7.1.1,Szervezet,1,1.1,Információbiztonsági szabályzat,Elhanyagolható mértékű eltérés,"Dokumentum, Interjú","Az információbiztonsági szabályzat felülvizsgálata nem megfelelő gyakorisággal történik meg. A szabályzat szerepkörei és felelősségi köreinek meghatározása szintén hiányos, amely komoly kockázatot jelent az előírások betartatására a szervezetben. Az inform ációbiztonsági célkitűzések nem egyértelműen rögzítettek, így a biztonsági politikák végrehajtása nehezen marad ellenőrizhető. A vezetői elkötelezettség dokumentálása hiányos, ami csökkenti a szabályzat implementálásának hatékonyságát és a megfelelőséget.",SRC-008,19,21,machine_unvalidated,no,,,A-009,A-002;A-003;A-004;A-005;A-012;A-030;A-031;A-032;A-035;A-036;A-042,DIRECT,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0002,7.1.2,Szervezet,1,1.2,Elektronikus információs rendszerek biztonságáért felelős személy,Kiemelt mértékű eltérés,"Dokumentum, Interjú","Az információbiztonsági felelős kijelölése formálisan vagy tartalmilag nem történt meg, illetve a személy nem rendelkezik tényleges hatáskörrel és eszközökkel feladatainak ellátásához. A szabályzatnak való megfelelés koordinálása nem biztosított, ami az in formációbiztonsági irányítás hatékonyságát jelentősen csökkenti.",SRC-008,21,22,machine_unvalidated,no,,,A-001,A-002;A-003;A-004;A-005;A-012;A-030;A-031;A-032;A-035;A-036;A-042,DIRECT,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0003,7.1.3,Szervezet,1,1.3,Információbiztonságot érintő erőforrások,Kiemelt mértékű eltérés,"Dokumentum, Interjú","A szervezet nem biztosítja rendszeresen az információbiztonsági célokhoz szükséges erőforrásokat, azok tervezése és jóváhagyása esetleges. A dokumentáció hiányos vagy nem igazodik az aktuális jogszabályi és szabványos követelményekhez. Ez az információbiztonsági fejlesztések megvalósítását akadályozza, és az irányítási rendszer hatékonyságát súlyosan gyengíti.",SRC-008,22,23,machine_unvalidated,no,,,A-010,A-002;A-003;A-004;A-005;A-012;A-030;A-031;A-032;A-035;A-036;A-042,DIRECT,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0004,7.1.4,Szervezet,1,1.4,Intézkedési terv és mérföldkövei,Kis mértékű eltérés,"Dokumentum, Interjú","A szervezet nem határozta meg a cselekvési tervek és mérföldköveik jelentési követelményeit, ami miatt hiányosak az ellátási lánc kockázatkezelésére vonatkozó dokumentumok. A folyamat biztosítaná, hogy az információbiztonsági szabályzatra és a kapcsolódó s zervezeti rendszerekre vonatkozó cselekvési terveket dolgozzanak ki. Hiányzik a rendszeres karbantartási eljárás, amely biztosítaná a dokumentumok aktualizálását az üzleti igényekhez igazítva. A jelentési követelmények hiánya miatt nem áll rendelkezésre nyomon követhető biztonsági célkitűzés.",SRC-008,23,25,machine_unvalidated,no,,,A-006;A-007;A-008,A-002;A-003;A-004;A-005;A-012;A-030;A-031;A-032;A-035;A-036;A-042,DIRECT,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0005,7.1.5,Szervezet,1,1.5,Elektronikus információs rendszerek nyilvántartása,Kiemelt mértékű eltérés,"Dokumentum, Interjú","Az EIR -nyilvántartás részben vagy elavultan létezik, a változások dokumentálása rendszertelen, és a felülvizsgálat nem történik meg. A szervezet nem tudja pontosan meghatározni, milyen rendszereket üzemeltet, ami akadályozza a kockázatok megfelelő kezelésé t és a biztonsági intézkedések célzott alkalmazását.",SRC-008,25,25,machine_unvalidated,no,,,A-011,A-002;A-003;A-004;A-005;A-012;A-030;A-031;A-032;A-035;A-036;A-042,DIRECT,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0006,7.1.6,Szervezet,1,1.6,Biztonsági teljesítmény mérése,Kiemelt mértékű eltérés,"Dokumentum, Interjú","A biztonsági teljesítmény mérésének rendszere nem megfelelően kidolgozott vagy formálisan létezik, de tényleges adatgyűjtés, értékelés és jelentéskészítés nem történik. A szervezet nem rendelkezik megbízható adatokkal az EIR -ek biztonsági szintjéről, ami a kadályozza a döntéshozatalt és a fejlesztések priorizálását.",SRC-008,25,26,machine_unvalidated,no,,,,A-002;A-003;A-004;A-005;A-012;A-030;A-031;A-032;A-035;A-036;A-042,FAMILY_ONLY,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0007,7.1.7,Szervezet,1,1.7,Szervezeti architektúra,Megfelelt,"Dokumentum, Interjú","A szervezet kialakította és fenntartja a szervezeti architektúrát, amely egyértelműen meghatározza a struktúrát, felelősségi köröket és folyamatokat. Az architektúra figyelembe veszi azokat a kockázatokat, amelyek a szervezeti működésre, az erőforrásokra, személyekre és más szervezetekre hatással lehetnek. A rendszer dokumentált, rendszeresen felülvizsgált, és integrált része a kockázatkezelési és irányítási folyamatoknak.",SRC-008,26,26,machine_unvalidated,no,,,,A-002;A-003;A-004;A-005;A-012;A-030;A-031;A-032;A-035;A-036;A-042,FAMILY_ONLY,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0008,7.1.8,Szervezet,1,1.9,A szervezet működése szempontjából kritikus infrastruktúra biztonsági,Megfelelt,"Dokumentum, Interjú","A szervezet rendelkezik kidolgozott, dokumentált és rendszeresen frissített biztonsági tervvel a működése szempontjából kritikus infrastruktúrára és kulcsfontosságú erőforrásokra vonatkozóan. A terv kifejezetten kezeli az információbiztonsági szempontokat, beleértve a bizalmasság, sértetlenség és rendelkezésre állás védelmét, valamint illeszkedik a szervezet általános biztonsági és kockázatkezelési rendszeréhez.",SRC-008,26,27,machine_unvalidated,no,,,,A-002;A-003;A-004;A-005;A-012;A-030;A-031;A-032;A-035;A-036;A-042,FAMILY_ONLY,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0009,7.1.9,Szervezet,1,1.10,Kockázatmenedzsment stratégia,Kis mértékű eltérés,"Dokumentum, Interjú","A szervezet meghatározta a kockázatmenedzsment stratégia felülvizsgálatának és frissítésének gyakoriságát, de ez nem történik meg rendszeresen. Átfogó stratégiát dolgoztak ki a biztonsági kockázatok kezelésére, de a személyazonosításra alkalmas adatokhoz kapcsolódó adatvédelmi stratégia hiányos lehet. A kockázatmenedzsment stratégia végrehajtása nem egységes a szervezeten belül.",SRC-008,27,28,machine_unvalidated,no,,,,A-002;A-003;A-004;A-005;A-012;A-030;A-031;A-032;A-035;A-036;A-042,FAMILY_ONLY,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0010,7.1.10,Szervezet,1,1.11,Engedélyezési folyamatok meghatározása,Kiemelt mértékű eltérés,"Dokumentum, Interjú","A szervezet engedélyezési folyamatai nem megfelelően szabályozottak, a felelősségek nincsenek egyértelműen kijelölve, és a folyamatok nem kapcsolódnak a kockázatmenedzsment keretrendszerhez. Ez a biztonsági állapot átláthatóságát és a felelősségi viszonyokat jelentősen gyengíti.",SRC-008,28,28,machine_unvalidated,no,,,,A-002;A-003;A-004;A-005;A-012;A-030;A-031;A-032;A-035;A-036;A-042,FAMILY_ONLY,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0011,7.1.11,Szervezet,1,1.12,Szervezeti működés és üzleti folyamatok meghatározása,Kiemelt mértékű eltérés,"Dokumentum, Interjú","A szervezet üzleti folyamatai és céljai nincsenek teljes körűen meghatározva, az információbiztonsági szempontok nem kerülnek figyelembevételre. Az információvédelmi igények meghatározása hiányos, a felülvizsgálatok rendszertelenek, ami a működés és a kock ázatkezelés szempontjából komoly hiányosságokat okoz.",SRC-008,28,29,machine_unvalidated,no,,,,A-002;A-003;A-004;A-005;A-012;A-030;A-031;A-032;A-035;A-036;A-042,FAMILY_ONLY,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0012,7.1.12,Szervezet,1,1.14,Biztonsági személyzet képzése,Kiemelt mértékű eltérés,"Dokumentum, Interjú","Nincs átfogó, dokumentált képzési program, és a biztonsági személyzet képzése csak ad hoc módon történik. A képzések nem fedik le az aktuális biztonsági kihívásokat, ami a személyzet felkészültségében komoly hiányosságokat eredményez.",SRC-008,29,30,machine_unvalidated,no,,,,A-002;A-003;A-004;A-005;A-012;A-030;A-031;A-032;A-035;A-036;A-042,FAMILY_ONLY,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0013,7.1.13,Szervezet,1,1.15,"Tesztelés, képzés és felügyelet",Kiemelt mértékű eltérés,"Dokumentum, Interjú","Nem működik egységes folyamat a tesztelések, képzések és felügyeleti tevékenységek szervezett végrehajtására. A kapcsolódó tervek elavultak, nem kerülnek összehangolásra a kockázatmenedzsment stratégiával, ami a biztonsági működés átláthatóságát és hatékon yságát súlyosan rontja.",SRC-008,30,31,machine_unvalidated,no,,,,A-002;A-003;A-004;A-005;A-012;A-030;A-031;A-032;A-035;A-036;A-042,FAMILY_ONLY,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0014,7.1.14,Szervezet,1,1.16,Szakmai csoportokkal és közösségekkel való kapcsolattartás,Kiemelt mértékű eltérés,"Dokumentum, Interjú","A szervezet nem rendelkezik kialakított vagy működő kapcsolatrendszerrel a releváns szakmai közösségekkel. A biztonsági tudás és tapasztalatmegosztás nem szervezett, így a szervezet lemarad a korszerű biztonsági gyakorlatok és fenyegetésinformációk követésében.",SRC-008,31,31,machine_unvalidated,no,,,,A-002;A-003;A-004;A-005;A-012;A-030;A-031;A-032;A-035;A-036;A-042,FAMILY_ONLY,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0015,7.1.15,Szervezet,1,1.17,Fenyegetettség tudatosító program,Kiemelt mértékű eltérés,"Dokumentum, Interjú","A szervezet nem rendelkezik átfogó fenyegetettség -tudatosító programmal, az információmegosztás és a fenyegetések felismerésének képessége alacsony szinten van. Az oktatás és kommunikáció hiányosságai miatt a szervezet nehezen reagál a kibertérben megjelenő új fenyegetésekre.",SRC-008,31,32,machine_unvalidated,no,,,,A-002;A-003;A-004;A-005;A-012;A-030;A-031;A-032;A-035;A-036;A-042,FAMILY_ONLY,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0016,7.1.16,Szervezet,1,1.19,Kockázatmenedzsment keretrendszer,Kiemelt mértékű eltérés,"Dokumentum, Interjú","A kockázatmenedzsment keretrendszer nem teljes körűen kidolgozott, a feltételezések, megkötések és prioritások dokumentálása hiányzik, a kockázattűrő képesség nincs meghatározva. Az eredmények kommunikációja korlátozott, és a felülvizsgálat nem történik me g rendszeresen, ami a biztonsági döntéshozatal megbízhatóságát rontja.",SRC-008,32,33,machine_unvalidated,no,,,,A-002;A-003;A-004;A-005;A-012;A-030;A-031;A-032;A-035;A-036;A-042,FAMILY_ONLY,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0017,7.1.17,Szervezet,1,1.20,Kockázatkezelésért felelős szerepkörök,Kiemelt mértékű eltérés,"Dokumentum, Interjú","A kockázatkezelésért felelős szerepkörök nincsenek egyértelműen kijelölve, vagy a kijelölt személyek nem rendelkeznek megfelelő jogosultsággal és felhatalmazással. A kockázatmenedzsment tevékenységek nincsenek összehangolva a szervezeti irányítási és terve zési folyamatokkal, ami az információbiztonsági döntéshozatal gyengeségét eredményezi.",SRC-008,33,34,machine_unvalidated,no,,,,A-002;A-003;A-004;A-005;A-012;A-030;A-031;A-032;A-035;A-036;A-042,FAMILY_ONLY,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0018,7.1.18,Szervezet,1,1.21,Ellátási lánc kockázatmenedzsment stratégiája,Kiemelt mértékű eltérés,"Dokumentum, Interjú","A szervezet ellátási lánc kockázatmenedzsment stratégiája hiányos vagy elavult, nem fedi le teljes körűen az EIR -ek és rendszerelemek életciklusát. Az alkalmazás és a frissítés rendszertelen, az egyes szervezeti egységek önállóan, koordináció nélkül kezeli k a kockázatokat, ami a biztonsági megfelelőség csökkenéséhez vezet.",SRC-008,34,36,machine_unvalidated,no,,,,A-002;A-003;A-004;A-005;A-012;A-030;A-031;A-032;A-035;A-036;A-042,FAMILY_ONLY,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0019,7.1.19,Szervezet,1,1.22,Ellátási lánc kockázatmenedzsment stratégia – Üzletmenet (ügymenet),Megfelelt,"Dokumentum, Interjú","A szervezet rendszeresen azonosítja, értékeli és rangsorolja azon beszállítókat, akik a működés szempontjából kritikus technológiákat, termékeket vagy szolgáltatásokat biztosítanak. A beszállítói kockázatelemzés dokumentált, az eredmények beépülnek az ellá tási lánc kockázatmenedzsment stratégiába, támogatva az üzletmenet-folytonosságot és az információbiztonsági megfelelést.",SRC-008,36,37,machine_unvalidated,no,,,,A-002;A-003;A-004;A-005;A-012;A-030;A-031;A-032;A-035;A-036;A-042,FAMILY_ONLY,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0020,7.1.20,Szervezet,1,1.23,Folyamatos felügyeleti stratégia,Kiemelt mértékű eltérés,"Dokumentum, Interjú","A szervezet nem rendelkezik teljes körű felügyeleti stratégiával, vagy a program nem biztosítja a biztonsági állapot folyamatos nyomon követését. A teljesítménymutatók, az elemzések és a válaszlépések hiányosak, a biztonsági információk kezelése rendszerte len, így a problémák késve kerülnek azonosításra.",SRC-008,37,38,machine_unvalidated,no,,,,A-002;A-003;A-004;A-005;A-012;A-030;A-031;A-032;A-035;A-036;A-042,FAMILY_ONLY,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0021,7.1.21,Szervezet,3,3.1,Szabályzat és eljárásrendek,Kis mértékű eltérés,"Dokumentum, Interjú","A tudatossági szabályzatot nem ismertették meg megfelelően az érintett személyekkel vagy szerepkörökkell. A szabályzat felülvizsgálatának és frissítésének gyakorisága nincs meghatározva, ami növeli az elavult információk kockázatát. Az esemény -alapú kivált ó okok nem kerültek megfelelően dokumentálásra, így jelentős változások esetén is hiányozhat a szabályzat frissítése. Hiányzik a vezetői elkötelezettség formális rögzítése, ami gyengíti a képzés és tudatosság képzésének hatékonyságát.",SRC-008,38,41,machine_unvalidated,no,,,A-014,,DIRECT,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0022,7.1.22,Szervezet,3,3.2,Biztonságtudatossági képzés,Kiemelt mértékű eltérés,"Dokumentum, Interjú","A szervezetnél a biztonságtudatossági képzési program nem egységes, nem dokumentált, vagy hiányzik az új felhasználók kezdeti oktatása. A képzések nem reagálnak a szervezeti vagy technológiai változásokra, így a felhasználók biztonsági ismeretei nem naprakészek, ami növeli a humán kockázatokat.",SRC-008,41,42,machine_unvalidated,no,,,,,UNMAPPED,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0023,7.1.23,Szervezet,3,3.4,Biztonságtudatossági képzés – Belső fenyegetés,Kiemelt mértékű eltérés,Dokumentum,"A belső fenyegetésekről szóló képzés csak formálisan létezik, tényleges oktatás vagy tudatosítás nem történik. A munkavállalók többsége nincs tisztában a gyanús viselkedések felismerésének módjával, illetve a jelentési kötelezettséggel, ami a szervezet védelmi képességét jelentősen gyengíti.",SRC-008,42,43,machine_unvalidated,no,,,,,UNMAPPED,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0024,7.1.24,Szervezet,3,3.9,Szerepkör alapú biztonsági képzés,Kiemelt mértékű eltérés,Dokumentum,"A szerepkör alapú biztonsági képzés formálisan létezik, de nem működik rendszerszinten. A képzések ritkák, a tartalom elavult, és a szervezeti változásokra nem reagálnak. A felhasználók nem kapnak megfelelő tájékoztatást a szerepkörükhöz tartozó biztonsági felelősségekről, ami növeli a hibás vagy kockázatos műveletek esélyét.",SRC-008,43,44,machine_unvalidated,no,,,,,UNMAPPED,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0025,7.1.25,Szervezet,3,3.13,A biztonsági képzésre vonatkozó dokumentációk,Kiemelt mértékű eltérés,"Dokumentum, Teszt","A képzési tevékenységek dokumentálása nem teljes körű, a nyilvántartások hiányosak vagy nem kerülnek rendszeresen frissítésre. A dokumentumok megőrzése nem szabályozott, így az auditálhatóság és a képzési követelmények teljesülése nem igazolható megfelelően.",SRC-008,44,45,machine_unvalidated,no,,,A-014,,DIRECT,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
