action_id,status,priority,complexity_band,procurement_gate,dependency_ids,previous_target_date,calculated_target_date,wave_id,sequencing_reason,calendar_completion_cap,operational_completion_cap,schedule_status,decision_ref
A-001,IN_PROGRESS,P0,SIMPLE,no,,2026-08-31,2026-08-31,W0,hatósági előfeltétel és azonnali irányítás,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-002,DONE,P0,SIMPLE,no,,2026-06-27,2026-06-27,HISTORICAL,Lezárt tétel történeti céldátuma változatlan.,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-003,IN_PROGRESS,P0,COMPLEX,no,,2026-10-30,2026-10-30,W3,"gyors, B0 dokumentációs és szervezési feladat",2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-004,IN_PROGRESS,P0,SIMPLE,no,,2026-08-31,2026-08-31,W0,hatósági előfeltétel és azonnali irányítás,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-005,IN_PROGRESS,P0,SIMPLE,no,A-004,2026-08-31,2026-08-31,W0,hatósági előfeltétel és azonnali irányítás,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-006,NEW,P0,SIMPLE,no,A-002;A-004;A-005;A-036,2026-09-11,2026-09-11,W1,cselekvési terv véglegesítési előfeltétel,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-007,NEW,P0,MODERATE,no,A-006,2026-09-24,2026-09-24,W2,hatósági cselekvési terv benyújtása,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-008,NEW,P0,SIMPLE,no,A-002;A-006,2026-12-15,2026-12-15,W4,egyszerű kontrollbevezetés és gyors javítás,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-009,NEW,P1,SIMPLE,no,,2026-10-30,2026-10-30,W3,"gyors, B0 dokumentációs és szervezési feladat",2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-010,NEW,P1,MODERATE,no,,2026-10-30,2026-10-30,W3,"gyors, B0 dokumentációs és szervezési feladat",2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
