evidence_id,action_id,requirement_family,control_ref,eir,title,evidence_type,source_ref,source_page,source_confidence,assumption,internal_uri,sha256,created_at,created_by,submitted_at,reviewed_at,reviewed_by,review_status,review_decision_ref,rejection_reason,retention_class,confidentiality,superseded_by,notes
EV-VC-001,A-011,1;6,1.5;6.36,Mind,EIR- és eszközleltár munkapéldány,inventory_workbook,INTAKE-VC-20260720:EV-VC-001,,unverified_internal,A tartalom és az aktualitás owner review-ra vár,,2de29c364bd3a28b4ca25c11e5cf43184f20703a7fd9efce2e7b4f4791d35da5,2026-07-20T14:26:10+02:00,SOURCE_AUTHOR_PENDING_HUMAN_CONFIRMATION,,,,DRAFT,,,PENDING_G2_CLASSIFICATION,RESTRICTED_PENDING_G2,,A cellaértékben azonos második példány külön evidenciaként nem számolható; pontos forrás a helyi átvételi jegyzékben.
EV-VC-002,A-039,15,15.4,Mind,Kockázatkezelési és intézkedési terv munkapéldány,risk_register,INTAKE-VC-20260720:EV-VC-002,,unverified_internal,A kockázatok és kezelési döntések vezetői review-ra várnak,,aeab7396941a0fd4611dea76c8317f524cdaeea81dbda29a53fbb3797decebba,2026-07-20T14:26:10+02:00,SOURCE_AUTHOR_PENDING_HUMAN_CONFIRMATION,,,,DRAFT,,,PENDING_G2_CLASSIFICATION,RESTRICTED_PENDING_G2,,Védett tárba helyezés és kockázatgazdai jóváhagyás szükséges.
EV-VC-003,A-021,19,19.1,Mind,Beszállítói értékelési munkapéldány,supplier_assessment,INTAKE-VC-20260720:EV-VC-003,,unverified_internal,A beszállítói adatok és pontozások szerződésgazdai review-ra várnak,,cedc6908bd2c969fec753411c8d56fa97aa0812e861c83f7ad6ea95fda28b2eb,2026-07-20T14:26:10+02:00,SOURCE_AUTHOR_PENDING_HUMAN_CONFIRMATION,,,,DRAFT,,,PENDING_G2_CLASSIFICATION,RESTRICTED_PENDING_G2,,Beszállítónevek és kapcsolattartói adatok csak védett tárban kezelhetők.
EV-VC-004,A-021,19,19.1;19.4,Mind,Beszállítói kockázatelemzési munkapéldány,supplier_risk_register,INTAKE-VC-20260720:EV-VC-004,,unverified_internal,A kockázati minősítések és kontrollválaszok emberi review-ra várnak,,09b025e8fbd250f46a64dda11cd4c576914e2e580ea409bec7f3ea615fa32574,2026-07-20T14:26:10+02:00,SOURCE_AUTHOR_PENDING_HUMAN_CONFIRMATION,,,,DRAFT,,,PENDING_G2_CLASSIFICATION,RESTRICTED_PENDING_G2,,G1 és szükség szerint jogi review szükséges.
EV-VC-005,A-021,19,19.4,Mind,Kitöltött beszállítói kérdőív,supplier_questionnaire,INTAKE-VC-20260720:EV-VC-005,,conditional,A válaszok forrása és jóváhagyása megerősítendő,,bd348fb77f771be9a97ad5f7fee1e83b1f118dbfbabf3d2a91ee037d41543e04,2026-07-20T14:26:08+02:00,SOURCE_AUTHOR_PENDING_HUMAN_CONFIRMATION,,,,DRAFT,,,PENDING_G2_CLASSIFICATION,RESTRICTED_PENDING_G2,,A makrót a vizsgálat során nem futtattuk; védett és makróbiztonsági review szükséges.
EV-VC-006,A-033,15;18,15.9;18.2,Mind,Belső sérülékenységvizsgálati jelentés,vulnerability_report,INTAKE-VC-20260720:EV-VC-006,,conditional,A scope és a javítási állapot emberi műszaki review-ra vár,,2ff84c4aa27aafd04f2686044e416cfdd56c41b7783164719263a8472c64cdc8,2026-07-20T14:26:13+02:00,Alverad Technology Focus Kft.,,,,DRAFT,,,PENDING_G2_CLASSIFICATION,STRICTLY_RESTRICTED_TECHNICAL,,Két pontosan azonos példányból csak egy vehető nyilvántartásba; retest és remediation ticket szükséges.
EV-VC-007,A-033,15;18,15.9;18.2,Mind,Külső sérülékenységvizsgálati jelentés,vulnerability_report,INTAKE-VC-20260720:EV-VC-007,,conditional,A scope és a javítási állapot emberi műszaki review-ra vár,,48b7dcc74b5fb37f41bf72843f2898d7ab58b84a8e2d3b6f5713832f5cf39704,2026-07-20T14:26:13+02:00,Alverad Technology Focus Kft.,,,,DRAFT,,,PENDING_G2_CLASSIFICATION,STRICTLY_RESTRICTED_TECHNICAL,,Két pontosan azonos példányból csak egy vehető nyilvántartásba; retest és remediation ticket szükséges.
EV-VC-008,A-033,15;18,15.9;18.2,Mind,Sérülékenységjavítási belső összefoglaló,remediation_working_document,INTAKE-VC-20260720:EV-VC-008,,unverified_internal,A belső javítási állítások ticket és retest nélkül nem bizonyítottak,,d2c8ec9bfa9eabe2543d864709f1efd9a5b9e13d6b252be7f331595e007e196a,2026-07-20T14:26:13+02:00,SOURCE_AUTHOR_PENDING_HUMAN_CONFIRMATION,,,,DRAFT,,,PENDING_G2_CLASSIFICATION,STRICTLY_RESTRICTED_TECHNICAL,,Másodlagos munkadokumentum; az eredeti riportokat nem helyettesíti.
EV-VC-009,A-017,7,7.2;7.35;7.43,Mind,Üzletmenet-folytonossági terv,continuity_plan,INTAKE-VC-20260720:EV-VC-009,,unverified_internal,A kiadás és a gyakorlat végrehajtása nincs elfogadott evidenciával igazolva,,06c8377cf5c7c31464981ff46283a59407e5222d8478494e4f0ea08f78759402,2026-07-20T14:26:11+02:00,SOURCE_AUTHOR_PENDING_HUMAN_CONFIRMATION,,,,DRAFT,,,PENDING_G2_CLASSIFICATION,RESTRICTED_PENDING_G2,,Aláírás kiadás megismertetés és gyakorlatjegyzőkönyv szükséges.
EV-VC-010,A-017,7,7.2;7.35;7.43,Mind,Katasztrófa-helyreállítási terv mintarendszerhez,disaster_recovery_plan,INTAKE-VC-20260720:EV-VC-010,,unverified_internal,A jóváhagyás és a helyreállítási próba igazolása hiányzik,,1ea6c0dbfd1a5599baf76a5e7f9c8f6a6f7e21fd87a45977676af730619f6231,2026-07-20T14:26:14+02:00,SOURCE_AUTHOR_PENDING_HUMAN_CONFIRMATION,,,,DRAFT,,,PENDING_G2_CLASSIFICATION,STRICTLY_RESTRICTED_TECHNICAL,,A terv nem helyettesíti a restore teszt eredményét.
EV-VC-011,A-013,9,9.1;9.2;9.9;9.34,Mind,Információbiztonsági eseménykezelési terv,incident_response_plan,INTAKE-VC-20260720:EV-VC-011,,unverified_internal,A jóváhagyás kontaktlista és tabletop végrehajtás még ellenőrizendő,,29ac512b21cda55eff4eb60c18cc907031772249c9cbb73744e7653df7e06033,2026-07-20T14:26:10+02:00,SOURCE_AUTHOR_PENDING_HUMAN_CONFIRMATION,,,,DRAFT,,,PENDING_G2_CLASSIFICATION,RESTRICTED_PENDING_G2,,Az eseménynyilvántartási fájl üres sablon ezért nem kapcsolódik elfogadott működési evidenciaként.
EV-VC-012,A-014,3,3.1;3.13,Mind,Információbiztonsági képzési terv,training_plan,INTAKE-VC-20260720:EV-VC-012,,unverified_internal,A jóváhagyás és a tényleges végrehajtás még ellenőrizendő,,52b6d1112078dd9ff02d6f0dbe8d54904bf5aee2d7d9c63fd2c1952a33469932,2026-07-20T14:26:10+02:00,SOURCE_AUTHOR_PENDING_HUMAN_CONFIRMATION,,,,DRAFT,,,PENDING_G2_CLASSIFICATION,RESTRICTED_PENDING_G2,,Jelenlét tudásellenőrzés és utánkövetés nélkül nem zárja az A-014 akciót.
EV-VC-013,A-014,3,3.1;3.13,Mind,Információbiztonsági oktatási prezentáció,training_material,INTAKE-VC-20260720:EV-VC-013,,unverified_internal,A felhasznált verzió és a képzés megtörténte még ellenőrizendő,,acdf9a30c7d976072ad8e6b0fde3c438f88fc777dd439556138ddcd98fda46bc,2026-07-20T14:26:10+02:00,SOURCE_AUTHOR_PENDING_HUMAN_CONFIRMATION,,,,DRAFT,,,PENDING_G2_CLASSIFICATION,RESTRICTED_PENDING_G2,,Oktatási anyag; részvételi és tesztevidencia szükséges.
EV-VC-014,A-022,10;18,,Infrastruktúra,Hálózati alapinfrastruktúra munkaleírás,technical_baseline_document,INTAKE-VC-20260720:EV-VC-014,,unverified_internal,A leírás aktualitása read-only exporttal és owner review-val igazolandó,,2016639fa84fc8f521fd3f49cdcd9ff5107e0f12b3cb2300020caa6714f509ee,2026-07-20T14:26:09+02:00,SOURCE_AUTHOR_PENDING_HUMAN_CONFIRMATION,,,,DRAFT,,,PENDING_G2_CLASSIFICATION,STRICTLY_RESTRICTED_TECHNICAL,,Nem kezelhető aktuális rendszertényként A-022 validáció nélkül.
EV-VC-015,A-036,1,1.7,Szervezet,Szervezeti ábra,organization_chart,INTAKE-VC-20260720:EV-VC-015,,unverified_internal,A szervezeti hatály és vezetői jóváhagyás ellenőrizendő,,a71206f4665d4368db401302f9c9cc58f0bad52e093ad063c6d19a2033dcb7bd,2026-07-20T14:26:10+02:00,SOURCE_AUTHOR_PENDING_HUMAN_CONFIRMATION,,,,DRAFT,,,PENDING_G2_CLASSIFICATION,INTERNAL_PENDING_G2,,RACI és formális kijelölések kiegészítő forrása lehet.
EV-VC-016,A-005,1,1.4,Mind,Kitöltött audit önértékelési munkafüzet,self_assessment,INTAKE-VC-20260720:EV-VC-016,,unverified_internal,A válaszok belső önértékelések és G1 review-ra várnak,,d23d53bd5676347d76d6e29f0271b6758192df10d604ceeb9e2cbdb1efb1ff13,2026-07-20T14:26:08+02:00,SOURCE_AUTHOR_PENDING_HUMAN_CONFIRMATION,,,,DRAFT,,,PENDING_G2_CLASSIFICATION,RESTRICTED_PENDING_G2,,A kitöltetlen korábbi példány csak történeti sablon.
EV-VC-017,A-005,1,1.4,Mind,Kitöltött kontrolltestreszabási kérdőív,control_tailoring_questionnaire,INTAKE-VC-20260720:EV-VC-017,,unverified_internal,A kontrollalkalmazhatósági válaszok G1 review-ra várnak,,db1f5fc864170a677d835343c012998e1907a3927cf80ad6c941078d02d32833,2026-07-20T14:26:14+02:00,SOURCE_AUTHOR_PENDING_HUMAN_CONFIRMATION,,,,DRAFT,,,PENDING_G2_CLASSIFICATION,RESTRICTED_PENDING_G2,,A mapping frissítéséhez használható emberi validáció után.
EV-VC-018,A-012,1,,Mind,Feladat- és evidencia-munkalista V4,project_evidence_worklist,INTAKE-VC-20260720:EV-VC-018,,unverified_internal,A munkalista rekordjai összevetésre és deduplikálásra várnak,,ed60d58bf0ebe83d0a8ade43dad873042df9c486e61e4a92eaf5e5aa1c97f657,2026-07-20T14:26:08+02:00,SOURCE_AUTHOR_PENDING_HUMAN_CONFIRMATION,,,,DRAFT,,,PENDING_G2_CLASSIFICATION,RESTRICTED_PENDING_G2,,A V3 történeti előzmény; a V4 sem fogadható el bizonyítékként önmagában.
EV-VC-019,A-029,16,16.3;16.99,Infrastruktúra,Hálózatbiztonsági licencigazolás,license_entitlement_record,INTAKE-VC-20260720:EV-VC-019,,conditional,A jogosultság hatálya és aktuális felhasználása licencreview-ra vár,,b16eda86e69ae72f8de6da4dfdae038bab6d834b408a7f1679b0e3de4d4ad776,2026-07-20T14:26:09+02:00,SOURCE_AUTHOR_PENDING_HUMAN_CONFIRMATION,,,,DRAFT,,,PENDING_G2_CLASSIFICATION,STRICTLY_RESTRICTED_COMMERCIAL,,Licenckulcs és kereskedelmi adat Gitbe nem kerülhet; a teljes A-029 mátrixot nem helyettesíti.
