action_id,requirement_family,control_ref,scope_eir,workstream,source_ref,source_type,source_page,source_confidence,finding_summary,task,deliverable,evidence_required,priority,phase,status,human_owner,human_approver,deadline_basis,target_offset_days,target_date,cost_band,spend_timing,purchase_trigger,ai_eligibility,ai_role,human_gate,dependencies,external_submission,notes
A-001,1,1.2,Szervezet,Irányítás,SRC-008,audit_gap,21–22,audited,Az információbiztonsági felelős kijelölése és tényleges hatásköre nem megfelelő.,"Formálisan jelölje ki az elektronikus információs rendszerek biztonságáért felelős személyt, biztosítson hatáskört, erőforrást és helyettesítést.","Aláírt kinevezés, munkaköri leírás, RACI és szervezeti ábra.","Aláírt dokumentumok, kihirdetési nyom, vezetői jóváhagyás.",P0,M0_STARTUP,IN_PROGRESS,Pásztor András,Lángi Zoltán,receipt_date_plus_days,5,2026-07-01,B0,NOW_B0,,partial,report_writer,G2_SECURITY_LEGAL,,no,A D-027 alapján Lángi Zoltán a projekt folyamataiban kijelölt IBF. A formális kijelölés és alkalmasság védett evidenciája a DEF-005/DEF-006 szerint pótlandó; az akció nem DONE.
A-002,1,,Szervezet,Hatósági határidő,SRC-001,authority_obligation,1,authority,A cselekvési terv 90 napos határideje a határozat kézhezvételétől indul.,"Rögzítse a 2026.06.26-i kézhezvétel bizonyítékának védett evidenciatári vagy iratkezelési hivatkozásját és reviewerét, majd véglegesítse a jóváhagyandó határidőnaptárt.",Jóváhagyott receipt record és határidőnaptár.,"Kézbesítési igazolás, receipt_date, reviewer és számítási napló.",P0,M0_STARTUP,DONE,Pásztor András,Lángi Zoltán,receipt_date_plus_days,1,2026-06-27,B0,NOW_B0,,partial,orchestrator,G2_SECURITY_LEGAL,,no,"A 2026-06-26-i baseline és a 2026-09-24-i határidő a D-022/D-031 alapján emberileg elfogadott. A kézzel aláírt G2/G4 rekord védett SharePoint URI-ja, SHA-256 értéke és reviewer-rekordja az EV-GOV-001-ben rögzített; a DEF-001 2026-07-29-én CLOSED_ACCEPTED. A külön címzetti kézbesítési igazolás nem áll rendelkezésre, ennek hiánya a DEF-003 szerint NOT_AVAILABLE_ACCEPTED_RISK."
A-003,1,,Mind,Evidencia és repository,SRC-008:p7|DERIVED,project_control,7,audited,Az audit végeredményének fő oka az evidenciák nagyfokú hiánya.,"Hozza létre a privát Git workspace-t, az védett evidenciatár taxonomiáját, elnevezési szabályt és hozzáférési csoportokat.",Működő repository- és evidenciatár-struktúra.,"Repository access list, evidenciatár-struktúra export/képernyőkép, naming convention, jóváhagyás.",P0,M0_STARTUP,IN_PROGRESS,Pásztor András,Lángi Zoltán,receipt_date_plus_days,3,2026-06-29,B0,NOW_B0,,partial,evidence_curator,G2_SECURITY_LEGAL,,no,"Az EVIDENCE_STORAGE.md 0.4 tervezete és a config/evidence_store.example.json rögzíti a termékfüggetlen taxonómiát, fájlnévszabályt és logikai hozzáférési szerepeket. A tényleges védett URI, vállalati csoportok, owner, backup/restore próba és G2 jóváhagyás hiányzik; az akció nem DONE."
A-004,1,,Mind,Auditfeldolgozás,SRC-008:p19–380|MACHINE_EXTRACT,audit_processing,19–380,machine_unvalidated,A 328 követelménycsoport-szakasz gépi kivonata még nincs emberileg validálva.,Validálja az audit finding-regisztert mintavétellel és kivétellistával; jelölje az emberileg ellenőrzött rekordokat.,Emberileg ellenőrzött audit finding-regiszter és parser-hibajegy.,"Mintavételi jegyzőkönyv, exception log, human_validated mező, reviewer sign-off.",P0,M1_0_30D,IN_PROGRESS,Pásztor András,Lángi Zoltán,receipt_date_plus_days,10,2026-07-06,B0,NOW_B0,,yes,audit_extractor,G1_DOMAIN_REVIEW,,no,A 328 rekordos gépi regiszter és strukturális QA elkészült; 0 human_validated. A FINDING_REVIEW_2026-07-15.md szerinti G1 mintavétel és reviewer sign-off pótlandó.
A-005,1,,Mind,Kontrolltérkép,SRC-001:p2|SRC-008:p9–10,authority_and_audit,2;9–10,authority,A tervnek követelménycsoport-bontást kell használnia; 19 követelménycsalád és több EIR érintett.,"Térképezze a findingokat követelménycsaládhoz, kontrollhoz, EIR-hez, akcióhoz, emberi gazdához és evidenciatípushoz.",Jóváhagyott control-action-evidence mapping.,"Mapping review log, hiány- és duplikációlista, owner sign-off.",P0,M1_0_30D,IN_PROGRESS,Pásztor András,Lángi Zoltán,receipt_date_plus_days,15,2026-07-11,B0,NOW_B0,,yes,control_mapper,G1_DOMAIN_REVIEW,A-004,no,"A lefedettségpótlás után a 310 eltérés mindegyikéhez pontos kontrollszintű akciókapcsolat tartozik; a 13 UNMAPPED és 5 FAMILY_ONLY rekord mind Megfelelt értékelésű. A mapping 189 sora és a 85 új A-043–A-127 akció továbbra is PROPOSED; G1/G2 owner review, a findingok forrásvalidációja, a konkrét kontrollgazdák és céldátumok jóváhagyása pótlandó (DEF-036; COVERAGE_EXPANSION_G1_REVIEW_2026-08-18.md)."
A-006,1,1.4,Mind,Hatósági cselekvési terv,SRC-001,authority_obligation,1–2,authority,"90 napon belül feladatot, határidőt és felelőst tartalmazó cselekvési terv szükséges.",Készítse el a teljes hatósági cselekvési terv első tervezetét a 19 követelménycsalád szerint.,Cselekvési terv tervezet.,"Minden tételhez követelménycsalád, feladat, név szerinti felelős, dátum, deliverable, evidencia és forrás.",P0,M1_0_30D,NEW,Pásztor András,Lángi Zoltán,receipt_date_plus_days,30,2026-07-26,B0,NOW_B0,,yes,report_writer,G4_EXTERNAL_SUBMISSION,A-002;A-004;A-005;A-036,yes,
A-007,1,1.4,Mind,Hatósági cselekvési terv,SRC-001,authority_obligation,1–2,authority,A cselekvési terv határidős külső benyújtása kötelező.,"Végezze el a szakmai, jogi és vezetői felülvizsgálatot, majd ember nyújtsa be a jóváhagyott tervet.",Benyújtott csomag és átvételi igazolás.,"Aláírt terv, jóváhagyási lánc, benyújtási és átvételi bizonyíték.",P0,M2_31_90D,NEW,Pásztor András,Lángi Zoltán,receipt_date_plus_days,90,2026-09-24,B0,NOW_B0,,partial,report_writer,G4_EXTERNAL_SUBMISSION,A-006,yes,
A-008,1,1.4,Mind,Negyedéves beszámoló,SRC-001,authority_obligation,1–2,authority,A cselekvési terv benyújtása után a megismételt auditig negyedéves beszámoló szükséges.,"Hozza létre a beszámolási naptár, adatvágás, sablon, felelős és jóváhagyási workflow tervezetét.",Jóváhagyott riportnaptár és beszámolósablon.,"Naptárbejegyzés, adatcut-off szabály, sablon, dry run és jóváhagyás.",P0,M1_0_30D,NEW,Pásztor András,Lángi Zoltán,relative_to_action_plan_submission,,,B0,NOW_B0,,yes,report_writer,G4_EXTERNAL_SUBMISSION,A-002;A-006,yes,A pontos negyedéves ütemezést jogi/IBF review erősítse meg.
A-009,1,1.1,Szervezet,Szabályzat-életciklus,SRC-008,audit_gap,19–21,audited,"A szabályzat felülvizsgálata, szerepkörei, céljai és vezetői elkötelezettségének dokumentálása hiányos.","Alakítson ki szabályzatgazdát, review naptárt, esemény-triggerlistát, változásnaplót és kihirdetési evidenciát.",Szabályzat-életciklus eljárás.,"Review log, verziótörténet, jóváhagyás, kihirdetés és megismerési nyom.",P1,M1_0_30D,NEW,Pásztor András,Lángi Zoltán,receipt_date_plus_days,30,2026-07-26,B0,NOW_B0,,yes,remediation_planner,G1_DOMAIN_REVIEW,,no,
A-010,1,1.3,Szervezet,Erőforrás és költség,SRC-008,audit_gap,22,audited,Az információbiztonsági erőforrás-tervezés és jóváhagyás esetleges.,"Hozzon létre éves erőforrás- és költségtervet, kivétel-/halasztási naplót és purchase trigger folyamatot.",Jóváhagyott erőforrásterv és exception log.,"Budget extract, kapacitásterv, döntési napló, halasztási kockázat.",P1,M1_0_30D,NEW,Pásztor András,Lángi Zoltán,receipt_date_plus_days,30,2026-07-26,B0,NOW_B0,,yes,cost_guard,G5_PURCHASE,,no,
