requirement_id,parent_control_ref,requirement_ref,requirement_text,source_ref,source_sheet,source_row,source_confidence,human_review_status,reviewer,reviewed_at,notes
REQ-0001,1.1,1.1,A szervezet:,SRC-009,1,3,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0002,1.1,1.1.1,"kidolgozza és kihirdeti az információbiztonsági szabályzatot, amely:",SRC-009,1,4,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0003,1.1,1.1.1.1,"- átfogó képet nyújt a biztonsági követelményekről, valamint a követelményeknek való megfelelés érdekében a szervezet által működtetett, vagy bevezetni kívánt védelmi intézkedésekről.",SRC-009,1,5,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0004,1.1,1.1.1.2,"- meghatározza a célkitűzéseket, a ható- és szerepköröket, a felelősségeket, a vezetői elkötelezettséget, a szervezeten belüli együttműködés kereteit és a megfelelőségi kritériumokat.",SRC-009,1,6,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0005,1.1,1.1.1.3,- leírja az információbiztonságért felelős szervezeti egységek közötti együttműködést.,SRC-009,1,7,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0006,1.1,1.1.1.4,"- a szervezet vezetője által kerül jóváhagyásra, aki felelősséget vállal és elszámoltatható a szervezeti műveletek (beleértve a célkitűzéseket, funkciókat, imázst és hírnevet), a szervezeti eszközök, személyek, más szervezetek szempontjából számottevőnek tartott kockázatokért.",SRC-009,1,8,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0007,1.1,1.1.2,Felülvizsgálja és frissíti az információbiztonsági szabályzatot a szervezet által meghatározott gyakorisággal és a szervezet által meghatározott események bekövetkezését követően.,SRC-009,1,9,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0008,1.1,1.1.3,"Gondoskodik arról, hogy az információbiztonsági szabályzat jogosulatlanok számára ne legyen megismerhető, módosítható.",SRC-009,1,10,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0009,1.2,1.2,"A szervezet vezetője a jogszabályi követelményeknek megfelelő, az elektronikus információs rendszerek biztonságáért felelős személyt nevez ki a szervezeti szintű információbiztonsági szabályzatnak való megfelelés koordinálására, fejlesztésére, bevezetésére és fenntartására és biztosítja számára a célok eléréséhez szükséges erőforrásokat.",SRC-009,1,12,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0010,1.3,1.3,A szervezet:,SRC-009,1,14,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0011,1.3,1.3.1,"Beépíti az információbiztonsági célok végrehajtásához és fejlesztéséhez szükséges erőforrásokat az éves költségvetés tervezésébe és beruházási kérelmeibe, valamint dokumentál minden olyan esetet, amelyek e követelmény alól kivételt képeznek.",SRC-009,1,15,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0012,1.3,1.3.2,"Gondoskodik arról, hogy a szükséges dokumentáció összhangban legyen a hatályos törvényekkel, végrehajtási rendeletekkel, irányelvekkel, szabályozásokkal, szabványokkal és ajánlásokkal.",SRC-009,1,16,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0013,1.3,1.3.3,Biztosítja az információbiztonsági célok végrehajtásához és fejlesztéséhez tervezett forrásokat.,SRC-009,1,17,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0014,1.4,1.4,A szervezet:,SRC-009,1,19,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0015,1.4,1.4.1,"Bevezet egy folyamatot, amely biztosítja, hogy az információbiztonság és az ellátási lánc kockázatkezelése, valamint a kapcsolódó szervezeti elektronikus információs rendszerek (a továbbiakban: EIR-ek) intézkedési tervei:",SRC-009,1,20,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0016,1.4,1.4.1.1,- ki legyenek dolgozva és karban legyenek tartva;,SRC-009,1,21,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0017,1.4,1.4.1.2,"- dokumentálják a helyreállító információbiztonsági és ellátási lánc kockázatkezelési intézkedéseket, hogy megfelelően reagáljanak a szervezeti műveletek és eszközök, személyek, más szervezetek kockázataira;",SRC-009,1,22,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0018,1.4,1.4.1.3,- a meghatározott jelentési követelmények bemutatásra kerüljenek.,SRC-009,1,23,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0019,1.4,1.4.2,"Áttekinti az intézkedési terveket és mérföldköveket, hogy azok összhangban állnak-e a szervezeti kockázatmenedzsment stratégiával és a kockázatkezelési intézkedések szervezeti szintű prioritásaival.",SRC-009,1,24,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0020,1.5,1.5,"A szervezet létrehozza és a szervezet EIR-jeiben bekövetkezett változások (pl.: új rendszer bevezetése, meglévő rendszer kivezetése) esetén frissíti, valamint a szervezet által meghatározott gyakorisággal felülvizsgálja az EIR-ek nyilvántartását.",SRC-009,1,26,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0021,1.6,1.6,"A szervezet kifejleszti az EIR-ei biztonsági mérésének rendszerét, folyamatosan felügyeli a teljesítménymutatókat, és rendszeres jelentéseket készít ezekről.",SRC-009,1,28,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0022,1.7,1.7,"A szervezet kifejleszti és fenntartja a szervezeti szervezetrendszert, amely tekintettel van mindazon kockázatokra, amelyek hatással lehetnek a szervezeti működésre, az eszközökre, az egyénekre és más szervezetekre.",SRC-009,1,30,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0023,1.8,1.8,"A szervezet más rendszerekbe, rendszerelemekbe szervezi át vagy külső szolgáltatóhoz szervezi ki a szervezet által meghatározott és a szervezet működése szempontjából nem kritikus funkciókat vagy szolgáltatásokat.",SRC-009,1,32,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0024,1.9,1.9,"A szervezet a szervezet működése szempontjából kritikus infrastruktúra és kulcsfontosságú erőforrások biztonsági tervének kidolgozása, dokumentálása és frissítése során kezeli az információbiztonsági kérdéseket.",SRC-009,1,34,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0025,1.10,1.10,A szervezet:,SRC-009,1,36,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0026,1.10,1.10.1,"Kidolgoz egy átfogó stratégiát, amely kezeli:",SRC-009,1,37,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0027,1.10,1.10.1.1,"- az EIR-ek működésével és használatával összefüggő, a szervezet működéséhez, vagyonelemeihez, a szervezethez köthető személyekhez, és más szervezetekhez kapcsolódó biztonsági kockázatokat.",SRC-009,1,38,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0028,1.10,1.10.1.2,- a személyes adatok kezeléséből fakadó kockázatokat.,SRC-009,1,39,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0029,1.10,1.10.2,Az egész szervezeten belül egységesen alkalmazza a kockázatmenedzsment stratégiát.,SRC-009,1,40,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0030,1.10,1.10.3,"A szervezet által meghatározott gyakorisággal és esetekben felülvizsgálja és frissíti a kockázatmenedzsment stratégiát, hogy meg tudjon felelni a szervezeti változásoknak.",SRC-009,1,41,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0031,1.11,1.11,A szervezet:,SRC-009,1,43,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0032,1.11,1.11.1,Engedélyezési folyamatokon keresztül kezeli az EIR-ek és azok környezetének biztonsági állapotát.,SRC-009,1,44,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0033,1.11,1.11.2,Kijelöli a szervezet kockázatmenedzsment folyamatának felelőseit (névvel és felelősségi körrel ellátva).,SRC-009,1,45,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0034,1.11,1.11.3,Beilleszti az engedélyezési folyamatokat a szervezet egészét átfogó kockázatmenedzsment keretrendszerbe.,SRC-009,1,46,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0035,1.12,1.12,A szervezet:,SRC-009,1,48,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0036,1.12,1.12.1,"Meghatározza a szervezeti célokat és az üzleti folyamatokat, figyelembe véve az információbiztonságot, valamint a szervezeti működésre, eszközökre, személyekre, más szervezetekre gyakorolt kockázatokat.",SRC-009,1,49,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0037,1.12,1.12.2,Meghatározza a szervezeti célokból és üzleti folyamatokból adódó információvédelmi igényeket.,SRC-009,1,50,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0038,1.12,1.12.3,Meghatározott gyakorisággal felülvizsgálja és módosítja a szervezeti célokat és az üzleti folyamatokat.,SRC-009,1,51,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0039,1.13,1.13,"A szervezet bevezet egy belső fenyegetések elleni programot, amely magában foglalja egy több szakterületet átfogó, belső fenyegetéssel kapcsolatos biztonsági események kezelését végző csoport működtetését.",SRC-009,1,53,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0040,1.14,1.14,A szervezet létrehozza a biztonsági személyzet képzését és fejlesztését elősegítő programot.,SRC-009,1,55,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0041,1.15,1.15,A szervezet:,SRC-009,1,57,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0042,1.15,1.15.1,"Bevezet egy folyamatot, amely biztosítja, hogy a szervezeti EIR-ekhez kapcsolódó biztonsági tesztelések, képzések és felügyeleti tevékenységek elvégzésére vonatkozó szervezeti tervek megfelelő fejlesztés és karbantartás mellett folyamatosan végrehajtásra kerüljenek.",SRC-009,1,58,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0043,1.15,1.15.2,"Felülvizsgálja és összehangolja a terveit a szervezeti kockázatmenedzsment stratégiával és a kockázatkezelési intézkedésekre vonatkozó, az egész szervezetre kiterjedő prioritásokkal.",SRC-009,1,59,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0044,1.16,1.16,A szervezet:,SRC-009,1,61,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0045,1.16,1.16.1,"Felveszi és kialakítja a kapcsolatot a kiválasztott szakmai csoportokkal és közösségekkel annak érdekében, hogy",SRC-009,1,62,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0046,1.16,1.16.1.1,- elősegítse a szervezethez köthető személyek folyamatos biztonsági oktatását és képzését;,SRC-009,1,63,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0047,1.16,1.16.1.2,"- naprakész információkkal rendelkezzen az ajánlott biztonsági gyakorlatok, technikák és technológiák terén;",SRC-009,1,64,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0048,1.16,1.16.1.3,"- megossza az aktuális biztonsággal kapcsolatos információkat, beleértve a fenyegetéseket, sérülékenységeket és biztonsági eseményeket.",SRC-009,1,65,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0049,1.17,1.17,"A szervezet a fenyegetésekkel kapcsolatos információk megosztására fenyegetettség tudatosító programot vezet be, amely magában foglalja a fenyegetések felismerését szolgáló szervezeten belüli és szervezetek közötti információmegosztási képességet.",SRC-009,1,67,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0050,1.18,1.18,A szervezet automatizált mechanizmusokat alkalmaz a fenyegetésekkel kapcsolatos információk megosztási hatékonyságának maximalizálása érdekében.,SRC-009,1,69,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0051,1.19,1.19,A szervezet:,SRC-009,1,71,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
